product_name,is_standard_number,standard_title,mandatory_or_voluntary,scheme_type,qco_reference,source_url,penalty_clause
Portland Slag Cement,IS 455:2015,Portland Slag Cement – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Commerce QCO for Cement,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Rapid Hardening Portland Cement,IS 8041:2021,Rapid Hardening Portland Cement – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Commerce QCO for Cement,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Electric Water Heaters (Geysers),IS 2082:2000,Electric Immersion Water Heaters – Safety Requirements,Mandatory,ISI Mark (Scheme I),BIS QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Electric Domestic Appliances – Safety,IS 302:2008,Safety of Household and Similar Electrical Appliances,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Imprisonment up to 2 years or fine under BIS Act 2016
Refrigerators / Domestic Refrigerating Appliances,IS 1476:2018,Household Refrigerating Appliances – Refrigerators and Food Freezers,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Room Air Conditioners,IS 1391:2018,Room Air Conditioners – Split and Multi Split Type,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Air Conditioners,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Induction Cooktops,IS 302-2-6:2009,Safety of Household Appliances – Particular Requirements for Cooking Ranges,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Microwave Ovens,IS 302-2-25:2009,Safety of Household Appliances – Microwave Ovens,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Washing Machines (Household),IS 302-2-7:2009,Safety of Household Appliances – Washing Machines,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Electric Irons (Dry and Steam),IS 302-2-3:2009,Safety of Household Appliances – Electric Irons,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Mixer Grinders (Household),IS 302-2-14:2010,Safety of Household Appliances – Food Processors,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Appliances,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
PVC Insulated Cables for Electrical Installations,IS 694:2010,PVC Insulated Cables for Electrical Installations,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Cables,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Flexible Cables and Cords for Domestic Appliances,IS 9968:2002,Elastomer Insulated Cables,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Wires and Cables,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
XLPE Insulated Cables,IS 7098:2011,Cross-Linked Polyethylene Insulated Cables,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Cables,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Plugs and Socket-Outlets for Domestic Use,IS 1293:2019,Plugs and Socket-Outlets of Rated Voltage up to 250V,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Fittings,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Switches for Domestic and Similar Fixed Electrical Installations,IS 3854:1997,Switches for Domestic and Similar Fixed Electrical Installations,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Electrical Fittings,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
MCBs (Miniature Circuit Breakers),IS 8828:2007,Miniature Circuit Breakers for Household Use,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Circuit Breakers,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
TMT Bars / Fe 415 Steel Bars for Concrete Reinforcement,IS 1786:2008,High Strength Deformed Steel Bars for Concrete Reinforcement,Mandatory,ISI Mark (Scheme I),Ministry of Steel QCO for TMT Bars,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Galvanized Steel Tubes,IS 1239:2004,"Mild Steel Tubes, Tubulars and Other Wrought Steel Fittings",Mandatory,ISI Mark (Scheme I),Ministry of Steel QCO for Pipes & Tubes,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Stainless Steel Cookware,IS 14756:2000,Stainless Steel Kitchen and Catering Utensils,Mandatory,ISI Mark (Scheme I),Ministry of Steel QCO for Cookware,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Protective Helmets for Two-Wheeler Riders,IS 4151:2015,Protective Helmets for Motor-Cycle Riders,Mandatory,ISI Mark (Scheme I),Ministry of Road Transport QCO for Helmets,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Industrial Safety Helmets,IS 2925:1984,Industrial Safety Helmets,Mandatory,ISI Mark (Scheme I),Ministry of Labour QCO for Safety Equipment,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
LPG Cylinders (Domestic),IS 3196:2013,Welded Low Carbon Steel Cylinders for LPG,Mandatory,ISI Mark (Scheme I),Ministry of Petroleum QCO for LPG Cylinders,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
LPG Regulators,IS 8737:2018,Regulators for Use with LPG,Mandatory,ISI Mark (Scheme I),Ministry of Petroleum QCO for LPG Equipment,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
LPG Domestic Pressure Regulators Hose,IS 9573:2014,Rubber Hose Assemblies for Use with LPG,Mandatory,ISI Mark (Scheme I),Ministry of Petroleum QCO for LPG Equipment,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Gold Jewellery and Artefacts,IS 1417:2016,"Gold and Gold Alloys, Jewellery/Artefacts – Fineness and Marking",Mandatory,Hallmarking Scheme,Mandatory Hallmarking Order 2021 (BIS Hallmarking Regulation 2018),https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,Imprisonment up to 1 year or fine up to Rs 5 lakh or both under BIS Act 2016
Silver Jewellery and Artefacts,IS 2112:2014,"Silver and Silver Alloys, Jewellery/Artefacts – Fineness and Marking",Mandatory,Hallmarking Scheme,BIS Hallmarking Regulation 2018,https://www.bis.gov.in/hallmarking-overview/,Fine or imprisonment under BIS Act 2016
Platinum Jewellery and Artefacts,IS 17511:2021,"Platinum and Platinum Alloys, Jewellery/Artefacts – Fineness and Marking",Voluntary,Hallmarking Scheme,BIS Hallmarking for Platinum,https://www.bis.gov.in/hallmarking-overview/,Not applicable (voluntary)
Mobile Phones and Smartphones,IS 13252:2010,Information Technology Equipment – Safety,Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics & IT Goods CRS Order 2012,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Imprisonment up to 2 years or fine under BIS Act 2016
Laptops and Notebook Computers,IS 13252:2010,Information Technology Equipment – Safety,Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics & IT Goods CRS Order 2012,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Imprisonment up to 2 years or fine under BIS Act 2016
LED Television Sets,IS 616:2010,"Safety of Audio, Video and Information Technology Equipment",Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics & IT Goods CRS Order 2012,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Imprisonment up to 2 years or fine under BIS Act 2016
Power Banks (Portable Battery Chargers),IS 16093:2014,Portable Storage Battery – Secondary Lithium Cells and Batteries,Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics CRS Order,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Fine or imprisonment under BIS Act 2016
Battery Chargers and Adapters,IS 13252:2010,Information Technology Equipment – Safety,Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics CRS Order,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Fine or imprisonment under BIS Act 2016
Set-Top Boxes (DTH / Cable),IS 616:2010,"Safety of Audio, Video and Information Technology Equipment",Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics CRS Order 2012,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Fine under BIS Act 2016
Domestic Pressure Cookers,IS 2347:2017,Domestic Pressure Cookers – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Consumer Affairs QCO for Pressure Cookers,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Drinking Water Storage Tanks (Polyethylene),IS 12701:2019,HDPE Water Storage Tank – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Jal Shakti QCO for Water Tanks,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
PVC Pipes for Portable Water Supply,IS 4985:2000,Unplasticized PVC Pipes for Potable Water Supplies,Mandatory,ISI Mark (Scheme I),Ministry of Jal Shakti QCO for Pipes,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
CPVC Pipes and Fittings,IS 15778:2007,CPVC Pipes – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Jal Shakti QCO for Pipes,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Water Meters,IS 779:1994,Water Meters (Domestic Type) – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Jal Shakti QCO,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Automotive Safety Glass,IS 2553:2018,Safety Glass – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Road Transport QCO for Automotive Parts,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Automotive Tyres,IS 15627:2019,Pneumatic Tyres for Motor Cycles,Mandatory,ISI Mark (Scheme I),Ministry of Road Transport QCO for Tyres,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Seat Belts for Motor Vehicles,IS 2112:2016,Seat Belts – Safety Requirements,Mandatory,ISI Mark (Scheme I),Ministry of Road Transport QCO for Vehicle Safety,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Packaged Drinking Water (Mineral Water),IS 14543:2016,Packaged Drinking Water (other than Packaged Natural Mineral Water),Mandatory,ISI Mark (Scheme I),FSSAI-linked BIS QCO for Packaged Water,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016 and Food Safety Act
Packaged Natural Mineral Water,IS 13428:2005,Packaged Natural Mineral Water – Specification,Mandatory,ISI Mark (Scheme I),BIS QCO for Mineral Water,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Milk (Pasteurized and Standardized),IS 1479:2006,Methods of Test for Dairy Industry,Mandatory,ISI Mark (Scheme I),Ministry of Food Processing QCO for Dairy,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Vitrified Tiles / Ceramic Floor Tiles,IS 15622:2021,Ceramic and Vitrified Tiles – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Commerce QCO for Tiles,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
"Sanitary Fittings (WC Pans, Cisterns, Wash Basins)",IS 2556:2019,Vitreous Sanitary Appliances – General Requirements,Mandatory,ISI Mark (Scheme I),Ministry of Commerce QCO for Sanitary Fittings,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Paints (Interior Emulsion / Exterior Paints),IS 15489:2018,Synthetic Emulsion Paints – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Chemicals QCO for Paints,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Urea Fertilizer,IS 2595:2021,Urea Fertilizer – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Chemicals & Fertilizers QCO,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Portable Fire Extinguishers,IS 2171:2014,Portable Fire Extinguishers – Dry Powder Type,Mandatory,ISI Mark (Scheme I),Ministry of Home Affairs QCO for Fire Safety Equipment,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
[image],IS 19497,,Mandatory,ISI Mark (Scheme I),LED Lights and Fixtures QCO 2023,https://www.bis.gov.in/wp-content/uploads/2023/01/LED-Lights-and-Fixtures-QCO-2023.pdf,
(डेप्युटेशन)][image],IS 17440,,Mandatory,ISI Mark (Scheme I),LED Lights and Fixtures QCO 2023,https://www.bis.gov.in/wp-content/uploads/2023/01/LED-Lights-and-Fixtures-QCO-2023.pdf,
लाइसेंस प्रदान करना।[image],IS 6307,,Mandatory,ISI Mark (Scheme I),LED Lights and Fixtures QCO 2023,https://www.bis.gov.in/wp-content/uploads/2023/01/LED-Lights-and-Fixtures-QCO-2023.pdf,
लाइसेंस जारी करना।[image],IS 1867,,Mandatory,ISI Mark (Scheme I),LED Lights and Fixtures QCO 2023,https://www.bis.gov.in/wp-content/uploads/2023/01/LED-Lights-and-Fixtures-QCO-2023.pdf,
•  Grant of All India First Licence for “Cylinder Cartridges for,IS 18841,,Mandatory,ISI Mark (Scheme I),LED Lights and Fixtures QCO 2023,https://www.bis.gov.in/wp-content/uploads/2023/01/LED-Lights-and-Fixtures-QCO-2023.pdf,
Next Prev,IS 19497,,Mandatory,ISI Mark (Scheme I),LED Lights and Fixtures QCO 2023,https://www.bis.gov.in/wp-content/uploads/2023/01/LED-Lights-and-Fixtures-QCO-2023.pdf,
‭Product/Title‬,IS 15410,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Containers for Packaging of Natural Mineral Water and Packaged Drinking Water‬,IS 13334 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Skimmed Milk Powder Part 1 : Standard Grade‬,IS 1165,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Milk Powder‬,IS 9537 (Part 3),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Conduits for electrical installations: Part 3 Rigid plain conduits of insulating materials‬,IS 694,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭flexible conductor for rated voltages upto and including 1100 V‬,IS 1166,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
"‭Condensed Milk, Partly Skimmed And Skimmed Condensed Milk‬",IS 12701,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Rotational Moulded Polyethylene Water Storage Tanks‬,IS 14333,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭High Density Polyethylene Pipe For Sewerage‬,IS 14887,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Packing 50 kg/25 kg Foodgrains‬,IS 398 (Part 2),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
"‭Conductors, Galvanized Steel Reinforced‬",IS 12818,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Unplasticized Polyvinyl Chloride (pvc-u)screen and Casing Pipes For Bore/tubewell‬,IS 13592,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Inside And Outside Buildings Including Ventilation and Rainwater System‬,IS 1011,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Biscuits‬,IS 303,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Plywood For General Purposes‬,IS 432 (Part 2),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Reinforcement Part 2 Hard-drawn Steel Wire‬,IS 7098 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,fine
‭upto and Including 1 100 V‬,IS 7224,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,fine
"‭Iodized Salt, Vacuum Evaporated Iodized Salt And Refined Iodized Salt‬",IS 4984,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,fine
‭High Density Polyethylene Pipes For Potable Water Supplies‬,IS 12786,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,fine
‭Irrigation Equipment - Polyethylene Pipes For Irrigation Laterals‬,IS 13334 (Part 2),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Skimmed Milk Powder Part 2 Extra Grade‬,IS 398 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Stranded Conductors‬,IS 432 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Reinforcement Part 1 Mild Steel And Medium Tensile Steel Bars‬,IS 710,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Marine Plywood‬,IS 1328,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Veneered Decorative Plywood‬,IS 1659,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Block Boards‬,IS 398 (Part 4),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Stranded Conductors (aluminium Magnesium Silicon Type)‬,IS 16208,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
"‭Packaging 10 kg, 15 kg, 20 kg, 25 kg and 30 kg foodgrains‬",IS 10124 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Fabricated PVC-u fittings for potable water supplies Part 1 General requirements‬,IS 1293,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Current upto and Including 16 Amperes‬,IS 1554 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭including 1100 V‬,IS 4250,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
[Page 3],IS 8978,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Electric Instantaneous Water Heaters‬,IS 10124 (Part 2),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Fabricated PVC-u fittings for potable water supplies Part 2 Requirements for sockets‬,IS 14542,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Partly Skimmed Milk Powder‬,IS 2082,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Stationary Storage Type Electric Water Heaters‬,IS 14151 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Irrigation Equipment - Sprinkler Pipes Part 1 Polyethylene Pipes‬,IS 14968,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Packing 50 Kg/25 Kg Sugar‬,IS 1161,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Steel Tubes For Structural Purposes‬,IS 366,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Electric Irons‬,IS 368,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Electric Immersion Water Heaters‬,IS 3854,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Switches For Domestic And Similar Purposes‬,IS 1786,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭High Strength Deformed Steel Bars And Wires For Concrete Reinforcement-‬,IS 10748,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Hot-rolled Steel Strip For Welded Tubes And Pipes‬,IS 15658,,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
‭Precast Concrete Blocks For Paving -‬,IS 2202 (Part 1),,Mandatory,ISI Mark (Scheme I),List of Products Under Simplified Procedure,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,
